subject_uri,subject_name,nodeid,browseName,label,synonyms,entity_types
https://saref.etsi.org/saref4ener/FlexOffer,FlexOffer,<None>,<None>,Flex_offer,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/IncentiveTableTier,IncentiveTableTier,<None>,<None>,Incentive_table_tier,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/LeakageBehaviour,LeakageBehaviour,<None>,<None>,Leakage_behaviour,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/LoadControlEventAction,LoadControlEventAction,<None>,<None>,Load_Control_event_action,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/LoadControlEventState,LoadControlEventState,<None>,<None>,Load_control_event_state_,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/OperationModeProfile,OperationModeProfile,<None>,<None>,Operation_mode_control,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/PEBCInstruction,PEBCInstruction,<None>,<None>,Power_Envelop_Based_Control_Instruction,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/PowerPlan,PowerPlan,<None>,<None>,Power_plan,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4ener/PowerRange,PowerRange,<None>,<None>,Power_range,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4inma/Item,Item,<None>,<None>,Item,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4inma/ItemBatch,ItemBatch,<None>,<None>,Item_Batch,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4inma/ItemCategory,ItemCategory,<None>,<None>,Item_category,<None>,http://www.w3.org/2002/07/owl/Class
https://saref.etsi.org/saref4inma/ProductionEquipmentCategory,ProductionEquipmentCategory,<None>,<None>,Production_equipment_category,<None>,http://www.w3.org/2002/07/owl/Class
https://w3id.org/saref/Command,Command,<None>,<None>,Command,<None>,http://www.w3.org/2002/07/owl/Class
https://w3id.org/saref/Function,Function,<None>,<None>,Function,<None>,http://www.w3.org/2002/07/owl/Class
https://w3id.org/saref/Service,Service,<None>,<None>,Service,<None>,http://www.w3.org/2002/07/owl/Class
https://w3id.org/saref/StartCommand,StartCommand,<None>,<None>,Start_command,<None>,http://www.w3.org/2002/07/owl/Class
https://w3id.org/saref/Task,Task,<None>,<None>,Task,<None>,http://www.w3.org/2002/07/owl/Class
https://w3id.org/saref/UnitOfMeasure,UnitOfMeasure,<None>,<None>,UnitOfMeasure,<None>,http://www.w3.org/2002/07/owl/Class
http://www.w3.org/2006/time/Interval,Interval,<None>,<None>,Interval,<None>,http://www.w3.org/2002/07/owl/Class
http://www.w3.org/2006/time/TemporalEntity,TemporalEntity,<None>,<None>,TemporalEntity,<None>,http://www.w3.org/2002/07/owl/Class
